"Sobre","Trayecto","Tiempo total","p1","p2","trafico","Horas","Mediana de Km/H","Distancia_total_km"
"Av.Kabah","Ida",22.305,19.27,26.41,"Poco trafico","12, 16, 20, 21, 22, 6, 10, 11",22.0381478155906,8.53
"Av.Kabah","Regreso",19.4,18.625,21.37,"Poco trafico","12, 13, 21, 22, 23, 7, 8, 9",24.1168299580098,7.88
"Av.Kabah","Ida",27.2,19.27,26.41,"Mucho trafico","13, 14, 15, 17, 18, 19, 7, 8, 9",17.6986250318799,8.53
"Av.Kabah","Regreso",24.095,18.625,21.37,"Mucho trafico","14, 15, 16, 17, 18, 19, 20, 0, 10",18.8993302762364,7.88
"Av.Kabah","Ida",17.28,19.27,26.41,"Sin trafico","23, 0, 1, 2, 3, 4, 5",28.9418133903624,8.53
"Av.Kabah","Regreso",16.43,18.625,21.37,"Sin trafico","1, 2, 3, 4, 5, 6, 11",29.0286776128644,7.88
"Av. Andres Quintana Roo","Ida",8.81,7.88,8.63,"Mucho trafico","13, 14, 15, 7, 8, 9, 10, 11, 12",27.3528833430438,4.15
"Av. Andres Quintana Roo","Regreso",6.22,5.44,6.22,"Mucho trafico","13, 14, 15, 16, 17, 18, 19, 20, 21",33.9747767223584,3.7
"Av. Andres Quintana Roo","Ida",8.535,7.88,8.63,"Poco trafico","16, 17, 18, 19, 20, 21, 5, 6",30.1305821133099,4.15
"Av. Andres Quintana Roo","Ida",7.75,7.88,8.63,"Sin trafico","22, 23, 0, 1, 2, 3, 4",32.4465608797535,4.15
"Av. Andres Quintana Roo","Regreso",6.005,5.44,6.22,"Poco trafico","22, 23, 7, 8, 9, 10, 11, 12",37.7246306828715,3.7
"Av. Andres Quintana Roo","Regreso",5.38,5.44,6.22,"Sin trafico","0, 1, 2, 3, 4, 5, 6",41.133427266296,3.7
"Av. López Portillo","Ida",24.43,26.22,28.575,"Sin trafico","0, 1, 2, 3, 5, 22, 23",29.7084597933715,12.09
"Av. López Portillo","Regreso",22.58,23.82,26.735,"Sin trafico","0, 1, 2, 3, 4, 5, 23",34.7118965379339,12.09
"Av. López Portillo","Ida",27.4,26.22,28.575,"Poco trafico","4, 9, 10, 12, 16, 19, 20, 21",26.3260439548856,12.09
"Av. López Portillo","Ida",28.88,26.22,28.575,"Mucho trafico","6, 7, 8, 11, 13, 14, 15, 17, 18",24.2695102291992,12.09
"Av. López Portillo","Regreso",26.12,23.82,26.735,"Poco trafico","6, 7, 8, 10, 11, 12, 21, 22",28.0049338777514,12.09
"Av. López Portillo","Regreso",26.735,23.82,26.735,"Mucho trafico","9, 13, 14, 15, 16, 17, 18, 19, 20",24.7518367930443,12.09
"Av. Nichupté","Ida",15.47,12.885,14.58,"Mucho trafico","10, 11, 13, 14, 15, 7, 8, 9",23.3333740240286,6.83
"Av. Nichupté","Regreso",10.51,9.51,13.11,"Poco trafico","10, 11, 12, 13, 23, 0, 8",26.4405344926486,4.88
"Av. Nichupté","Ida",14.545,12.885,14.58,"Poco trafico","12, 16, 17, 18, 19, 20, 6",29.7947981242536,6.83
"Av. Nichupté","Regreso",16.605,9.51,13.11,"Mucho trafico","14, 15, 16, 17, 18, 19, 20, 9",18.1112387673092,4.88
"Av. Nichupté","Ida",11.98,12.885,14.58,"Sin trafico","23, 0, 1, 2, 3, 4, 5",33.9297699833363,6.83
"Av. Nichupté","Regreso",9.01,9.51,13.11,"Sin trafico","1, 2, 3, 4, 5, 6, 7",32.4283621547359,4.88
"Av. Xcaret","Ida",5.32,4.38295,5.64,"Poco trafico","16, 17, 18, 19, 20, 21, 6",26.7792766816906,2.25
"Av. Xcaret","Ida",4.325,4.38295,5.64,"Sin trafico","22, 23, 0, 1, 2, 3, 4, 5",32.8558990757378,2.25
"Av. Xcaret","Ida",5.81,4.38295,5.64,"Mucho trafico","7, 8, 9, 10, 11, 12, 13, 14, 15",22.4350897397673,2.25
"Av. Cobá","Regreso",4.78,4.52735,5.22,"Poco trafico","10, 11, 21, 22, 23, 7, 9",26.4936288557805,2.09
"Av. Cobá","Regreso",5.22,4.52735,5.22,"Mucho trafico","12, 14, 15, 16, 17, 18, 19, 20, 13",21.981353069997,2.09
"Av. Cobá","Regreso",4.28,4.52735,5.22,"Sin trafico","0, 1, 2, 3, 4, 5, 6, 8",28.9679682305038,2.09
"Av. Chac Mool","Ida",12.66,13.535,14.57,"Sin trafico","0, 1, 2, 3, 4, 5, 23",25.2393815972683,5.33
